n,b,total_time,transmit_time,init_time
160000,16,0.094313,0.094213,0.000100
160000,16,0.097883,0.097821,0.000062
160000,16,0.105395,0.105343,0.000052
160000,16,0.082402,0.082336,0.000066
160000,16,0.166624,0.165208,0.001416
160000,16,0.081437,0.081389,0.000048
160000,16,0.085242,0.085192,0.000050
160000,16,0.088919,0.088873,0.000046
160000,16,0.081169,0.081122,0.000047
160000,16,0.094795,0.094732,0.000063
160000,16,0.079497,0.079445,0.000052
160000,16,0.076982,0.076925,0.000057
160000,16,0.094467,0.094418,0.000049
160000,16,0.078840,0.078786,0.000054
160000,16,0.096395,0.096349,0.000046
160000,16,0.084859,0.084805,0.000054
160000,16,0.101941,0.101869,0.000072
160000,16,0.075793,0.075747,0.000046
160000,16,0.084440,0.084393,0.000047
160000,16,0.079806,0.079751,0.000055
160000,16,0.076098,0.076046,0.000052
160000,16,0.080867,0.080819,0.000048
160000,16,0.089897,0.089850,0.000047
160000,16,0.078160,0.078087,0.000073
160000,16,0.085314,0.085266,0.000048
160000,16,0.075201,0.075157,0.000044
160000,16,0.099974,0.099933,0.000041
160000,16,0.091957,0.091914,0.000043
160000,16,0.118411,0.118257,0.000154
160000,16,0.098887,0.095883,0.003004
160000,16,0.072750,0.072688,0.000062
160000,16,0.076047,0.075992,0.000055
160000,16,0.121884,0.121835,0.000049
160000,16,0.086545,0.086473,0.000072
160000,16,0.079491,0.079441,0.000050
160000,16,0.074140,0.074095,0.000045
160000,16,0.082938,0.082889,0.000049
160000,16,0.081894,0.081848,0.000046
160000,16,0.100113,0.100004,0.000109
160000,16,0.189701,0.189611,0.000090
160000,16,0.174319,0.174246,0.000073
160000,16,0.145966,0.141759,0.004207
160000,16,0.124799,0.124733,0.000066
160000,16,0.124186,0.124128,0.000058
160000,16,0.129157,0.129103,0.000054
160000,16,0.162868,0.162806,0.000062
160000,16,0.146634,0.146528,0.000106
160000,16,0.192716,0.192645,0.000071
160000,16,0.224717,0.224610,0.000107
160000,16,0.182236,0.181959,0.000277
160000,16,0.261070,0.261001,0.000069
160000,16,0.152363,0.152286,0.000077
160000,16,0.174563,0.174495,0.000068
160000,16,0.162991,0.162869,0.000122
160000,16,0.134553,0.134464,0.000089
160000,16,0.114282,0.114224,0.000058
160000,16,0.119075,0.119020,0.000055
160000,16,0.140187,0.140119,0.000068
160000,16,0.130829,0.130765,0.000064
160000,16,0.110147,0.110091,0.000056
160000,16,0.111700,0.111651,0.000049
