n,b,total_time,transmit_time,init_time
20000,32,0.016353,0.016291,0.000062
20000,32,0.016193,0.016138,0.000055
20000,32,0.012664,0.012611,0.000053
20000,32,0.017375,0.017225,0.000150
20000,32,0.012254,0.012188,0.000066
20000,32,0.016848,0.016794,0.000054
20000,32,0.012119,0.012068,0.000051
20000,32,0.012036,0.011984,0.000052
20000,32,0.011957,0.011910,0.000047
20000,32,0.012104,0.012046,0.000058
20000,32,0.012173,0.012118,0.000055
20000,32,0.012111,0.012054,0.000057
20000,32,0.012907,0.012862,0.000045
20000,32,0.015363,0.015274,0.000089
20000,32,0.017058,0.016989,0.000069
20000,32,0.016289,0.016231,0.000058
20000,32,0.012278,0.012223,0.000055
20000,32,0.012088,0.012032,0.000056
20000,32,0.012085,0.012032,0.000053
20000,32,0.012065,0.012013,0.000052
20000,32,0.017147,0.017102,0.000045
20000,32,0.016076,0.016027,0.000049
20000,32,0.012060,0.012010,0.000050
20000,32,0.011855,0.011815,0.000040
20000,32,0.016121,0.016083,0.000038
20000,32,0.014810,0.014764,0.000046
20000,32,0.012093,0.012047,0.000046
20000,32,0.011852,0.011806,0.000046
20000,32,0.016257,0.016217,0.000040
20000,32,0.012136,0.012083,0.000053
20000,32,0.011965,0.011924,0.000041
20000,32,0.012142,0.012097,0.000045
20000,32,0.012115,0.012077,0.000038
20000,32,0.012086,0.012047,0.000039
20000,32,0.012018,0.011979,0.000039
20000,32,0.016776,0.016737,0.000039
20000,32,0.016419,0.016369,0.000050
20000,32,0.016922,0.016862,0.000060
20000,32,0.016669,0.016613,0.000056
20000,32,0.014989,0.014939,0.000050
20000,32,0.016355,0.016308,0.000047
20000,32,0.015958,0.015909,0.000049
20000,32,0.016048,0.015993,0.000055
20000,32,0.016077,0.016028,0.000049
20000,32,0.016307,0.016254,0.000053
20000,32,0.017244,0.017192,0.000052
20000,32,0.016613,0.016557,0.000056
20000,32,0.016071,0.016019,0.000052
20000,32,0.012433,0.012380,0.000053
20000,32,0.015927,0.015883,0.000044
20000,32,0.016568,0.016521,0.000047
20000,32,0.014361,0.014312,0.000049
20000,32,0.016056,0.016007,0.000049
20000,32,0.016334,0.016286,0.000048
20000,32,0.016096,0.016044,0.000052
20000,32,0.016057,0.016006,0.000051
20000,32,0.016216,0.016165,0.000051
20000,32,0.012444,0.012394,0.000050
20000,32,0.012181,0.012129,0.000052
20000,32,0.016803,0.016759,0.000044
20000,32,0.016339,0.016286,0.000053
20000,32,0.016779,0.016664,0.000115
20000,32,0.012394,0.012324,0.000070
20000,32,0.016310,0.016253,0.000057
20000,32,0.015241,0.015185,0.000056
20000,32,0.012128,0.012073,0.000055
20000,32,0.012062,0.012008,0.000054
20000,32,0.014166,0.014113,0.000053
20000,32,0.012166,0.012110,0.000056
20000,32,0.012022,0.011965,0.000057
20000,32,0.012096,0.012053,0.000043
20000,32,0.012163,0.012102,0.000061
20000,32,0.012149,0.012105,0.000044
20000,32,0.016848,0.016796,0.000052
20000,32,0.012588,0.012516,0.000072
20000,32,0.012410,0.012350,0.000060
20000,32,0.012483,0.012422,0.000061
20000,32,0.012187,0.012118,0.000069
20000,32,0.012135,0.012089,0.000046
20000,32,0.012220,0.012175,0.000045
20000,32,0.015521,0.015469,0.000052
20000,32,0.012086,0.012041,0.000045
20000,32,0.013667,0.013612,0.000055
20000,32,0.014614,0.014507,0.000107
20000,32,0.012428,0.012360,0.000068
20000,32,0.016547,0.016490,0.000057
20000,32,0.016246,0.016196,0.000050
20000,32,0.016006,0.015952,0.000054
20000,32,0.012114,0.012067,0.000047
20000,32,0.012262,0.012208,0.000054
20000,32,0.012127,0.012074,0.000053
20000,32,0.012133,0.012076,0.000057
20000,32,0.012130,0.012081,0.000049
20000,32,0.012209,0.012152,0.000057
20000,32,0.015991,0.015935,0.000056
20000,32,0.012515,0.012462,0.000053
